date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,year,month,day,day_of_week,is_weekend,quarter,mortality_rate,cases_growth_rate_7d,deaths_growth_rate_7d,new_cases_ma7,new_deaths_ma7,total_cases_normalized,total_deaths_normalized,new_cases_normalized,new_deaths_normalized,mortality_rate_normalized,cases_growth_rate_7d_normalized,deaths_growth_rate_7d_normalized,new_cases_ma7_normalized,new_deaths_ma7_normalized
2020-03-23,Central African Republic,3,0,0,0,1,2020,3,23,0,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-24,Central African Republic,3,0,0,0,1,2020,3,24,1,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-25,Central African Republic,3,0,0,0,1,2020,3,25,2,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-26,Central African Republic,3,0,0,0,1,2020,3,26,3,0,1,0.0,2.0,,0.2857142857142857,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.01194134568161089,,4.244311031601017e-06,0.0
2020-03-27,Central African Republic,3,0,0,0,1,2020,3,27,4,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-28,Central African Republic,3,0,0,0,1,2020,3,28,5,1,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-29,Central African Republic,3,0,0,0,1,2020,3,29,6,1,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-30,Central African Republic,3,0,0,0,1,2020,3,30,0,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-03-31,Central African Republic,3,0,0,0,1,2020,3,31,1,0,1,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-01,Central African Republic,3,0,0,0,1,2020,4,1,2,0,2,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-02,Central African Republic,3,0,0,0,1,2020,4,2,3,0,2,0.0,0.0,,0.0,0.0,4.6617243065568553e-07,0.0,0.0,0.0,0.0,0.0027643303164246124,,0.0,0.0
2020-04-03,Central African Republic,8,0,5,0,1,2020,4,3,4,0,2,0.0,1.6666666666666665,,0.7142857142857143,0.0,1.6316035072948993e-06,0.0,6.472073004983496e-05,0.0,0.0,0.010411843120746509,,1.0610777579002545e-05,0.0
2020-04-04,Central African Republic,8,0,0,0,1,2020,4,4,5,1,2,0.0,1.6666666666666665,,0.7142857142857143,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.010411843120746509,,1.0610777579002545e-05,0.0
2020-04-05,Central African Republic,8,0,0,0,1,2020,4,5,6,1,2,0.0,1.6666666666666665,,0.7142857142857143,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.010411843120746509,,1.0610777579002545e-05,0.0
2020-04-06,Central African Republic,8,0,0,0,1,2020,4,6,0,0,2,0.0,1.6666666666666665,,0.7142857142857143,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.010411843120746509,,1.0610777579002545e-05,0.0
2020-04-07,Central African Republic,8,0,0,0,1,2020,4,7,1,0,2,0.0,1.6666666666666665,,0.7142857142857143,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.010411843120746509,,1.0610777579002545e-05,0.0
2020-04-08,Central African Republic,8,0,0,0,1,2020,4,8,2,0,2,0.0,1.6666666666666665,,0.7142857142857143,0.0,1.6316035072948993e-06,0.0,0.0,0.0,0.0,0.010411843120746509,,1.0610777579002545e-05,0.0
