country,model,MAE,RMSE,R2
Afghanistan,linear_regression,1.017488602333434e-11,1.1371065283505383e-11,1.0
Afghanistan,ridge,110.40123799559524,129.26627459620977,-0.7148566042450828
Afghanistan,lasso,104.70430180915089,122.7149373509353,-0.5454401993711366
Afghanistan,random_forest,16.02064516129032,22.660842309886636,0.9473001423521747
Afghanistan,gradient_boosting,3.802222041820985,5.258510750438641,0.9971621928604679
Afghanistan,xgboost,8.941034317016602,12.042860418544544,0.9851161241531372
Afghanistan,lstm,69.15827889278017,83.3981223860187,0.26423352910685716
Albania,linear_regression,2.5618740845198648e-12,2.9057342698419687e-12,1.0
Albania,ridge,15.519483774144222,20.912594546987737,-0.11279896885348384
Albania,lasso,13.225668120332514,17.45544156111263,0.22471289878746514
Albania,random_forest,13.89344827586207,20.27584081338318,-0.04606488935549646
Albania,gradient_boosting,10.85404722843306,17.461445649769473,0.22417946134474775
Albania,xgboost,12.132306098937988,18.66977302499116,0.11309128999710083
Albania,lstm,36.66514381995568,40.46393959055745,-3.840613652208029
Algeria,linear_regression,1.2492716538667259e-11,1.318165313321666e-11,1.0
Algeria,ridge,128.754526054326,134.1405638123096,-0.6215329822014084
Algeria,lasso,130.1392904638213,135.6773716048121,-0.6589006420262753
Algeria,random_forest,270.95806451612907,290.74459122919603,-6.61778691384726
Algeria,gradient_boosting,253.35365479214195,274.3952488847268,-5.785138337063774
Algeria,xgboost,254.0064697265625,274.9836216713643,-5.814267635345459
Algeria,lstm,124.0526864188058,128.4812516153888,-1.1622917961896526
Andorra,linear_regression,2.6390405976051336e-12,2.8023916934760805e-12,1.0
Andorra,ridge,2.7687337938003296,3.43124464107571,0.03986083651506889
Andorra,lasso,2.316873354964952,3.1493709803831336,0.19113049883368272
Andorra,random_forest,0.23266666666666666,0.6550572494064926,0.9650063428778544
Andorra,gradient_boosting,0.06761081411499485,0.2547450850242285,0.9947077244916998
Andorra,xgboost,0.07670947909355164,0.2719579175588723,0.9939683675765991
Andorra,lstm,3.0548370679219565,3.780107095605183,-0.07812397411968064
Angola,linear_regression,2.0880185499724552e-12,2.508619640284214e-12,1.0
Angola,ridge,16.48701972829204,20.474806931036262,-0.67329655559149
Angola,lasso,11.784436258225561,15.55552460646772,0.03416573031029713
Angola,random_forest,5.93923076923077,8.754396258232422,0.6940956253210597
Angola,gradient_boosting,4.8011154072857485,6.72024460711271,0.8197383057274522
Angola,xgboost,11.577828407287598,15.002988390468456,0.10156053304672241
Angola,lstm,13.66607540845871,18.10407532138271,-0.23841112085463445
