Model,MAE,RMSE,R2
linear_regression,1.017488602333434e-11,1.1371065283505383e-11,1.0
gradient_boosting,3.802222041820985,5.258510750438641,0.9971621928604679
xgboost,8.941034317016602,12.042860418544544,0.9851161241531372
random_forest,16.02064516129032,22.660842309886636,0.9473001423521747
lstm,69.15827889278017,83.3981223860187,0.26423352910685716
lasso,104.70430180915089,122.7149373509353,-0.5454401993711366
ridge,110.40123799559524,129.26627459620977,-0.7148566042450828
